d6a603c was Danne Connolly, 2 days ago, message: First commit
2effec9 was Taylor Otwell, 2 years, 6 months ago, message: Update the GitIgnore file.
1e8ed2c was Taylor Otwell, 2 years, 6 months ago, message: Make a few tweaks to providers.
ac9ce28 was Taylor Otwell, 2 years, 6 months ago, message: Rename core directory.
00099ae was Taylor Otwell, 2 years, 6 months ago, message: Working on directory structure. Event provider.
084a91c was Taylor Otwell, 2 years, 6 months ago, message: Add src path.
727d097 was Taylor Otwell, 2 years, 6 months ago, message: Remove accidental dependency.
6070d93 was Taylor Otwell, 2 years, 6 months ago, message: Working on new directory structure.
e493e11 was Jose Jimenez, 2 years, 6 months ago, message: Missing validation sentence for timezone.
8aa4a0a was Taylor Otwell, 2 years, 6 months ago, message: Adding requests directory.
e166aa5 was Taylor Otwell, 2 years, 6 months ago, message: Working on new provider and aliases.
8e468bc was Taylor Otwell, 2 years, 6 months ago, message: Merge branch 'master' of github.com:laravel/laravel
3a34a99 was Taylor Otwell, 2 years, 7 months ago, message: Working on default route setup.
c4babe0 was Taylor Otwell, 2 years, 7 months ago, message: Merge branch 'master' into develop
e62ff82 was Benjamin Worwa, 2 years, 8 months ago, message: Create .gitignore
4b117a6 was Taylor Otwell, 2 years, 7 months ago, message: Fix a few things.
1a0b1cc was Taylor Otwell, 2 years, 7 months ago, message: Work on inspiring command.
9b00554 was Taylor Otwell, 2 years, 7 months ago, message: Merging structure branch.
c58286a was Taylor Otwell, 2 years, 7 months ago, message: Remove class loader from aliases.
4131fbd was Taylor Otwell, 2 years, 7 months ago, message: Continuing to work on structure.
0e0fd73 was Taylor Otwell, 2 years, 7 months ago, message: Working on overall app structure.
a500135 was Taylor Otwell, 2 years, 7 months ago, message: Fix autoload map.
812532c was Taylor Otwell, 2 years, 7 months ago, message: Rename commands directory.
a8a0996 was Taylor Otwell, 2 years, 7 months ago, message: Tweak default SQLite database.
b20409f was Taylor Otwell, 2 years, 7 months ago, message: Move storage out of app directory.
5b82dfb was Taylor Otwell, 2 years, 7 months ago, message: Working on compile config file.
f4e091f was Taylor Otwell, 2 years, 7 months ago, message: Merge pull request #2951 from bworwa/patch-1
5d7f9b2 was Taylor Otwell, 2 years, 7 months ago, message: Merge pull request #2947 from briankiewel/patch-1
ac096a2 was Benjamin Worwa, 2 years, 8 months ago, message: Create .gitignore
e5fe0af was Taylor Otwell, 2 years, 8 months ago, message: Move the environment settings into their own file.
a914718 was Taylor Otwell, 2 years, 8 months ago, message: Update validation.php
8e43b13 was Taylor Otwell, 2 years, 8 months ago, message: Merge pull request #2948 from TheShiftExchange/patch-1
df18065 was Laurence Ioannou, 2 years, 8 months ago, message: Update validation.php
7e4107d was Brian Kiewel, 2 years, 8 months ago, message: spacing cleanup
d2acaa2 was Taylor Otwell, 2 years, 9 months ago, message: Point at 4.3.
1713d69 was Taylor Otwell, 2 years, 9 months ago, message: Merge development branch.
3ea3cc6 was Taylor Otwell, 2 years, 9 months ago, message: Merge branch 'master' into develop
5a7d9a0 was Taylor Otwell, 2 years, 9 months ago, message: Fix wording.
a6a01b9 was Taylor Otwell, 2 years, 9 months ago, message: Merge pull request #2851 from juukie14/user-model-hidden
486cd4b was Taylor Otwell, 2 years, 9 months ago, message: Merge pull request #2853 from anewmanjones/patch-1
f9ce5f9 was Taylor Otwell, 2 years, 9 months ago, message: Merge pull request #2854 from seeARMS/patch-1
e3cb29a was Taylor Otwell, 2 years, 9 months ago, message: Merge pull request #2929 from barryvdh/patch-3
01e009a was Taylor Otwell, 2 years, 9 months ago, message: Merge branch 'master' into develop
f1fe4ef was Taylor Otwell, 2 years, 9 months ago, message: Merge pull request #2935 from GrahamCampbell/badges
9fd86c4 was Graham Campbell, 2 years, 9 months ago, message: Updated badges
3bab2d4 was Barry vd. Heuvel, 2 years, 9 months ago, message: Add note about expire time
6f00589 was Taylor Otwell, 2 years, 9 months ago, message: Cleaning up some default values.
0935b04 was Taylor Otwell, 2 years, 9 months ago, message: Merge branch 'upcoming' into develop
c7ff711 was Taylor Otwell, 2 years, 9 months ago, message: Change namespace for RemindableTrait.
b9c69c6 was Taylor Otwell, 2 years, 9 months ago, message: Change local database user.
ca651a7 was Taylor Otwell, 2 years, 9 months ago, message: Configure default database connections for Forge and Homestead.
5b811e3 was Taylor Otwell, 2 years, 9 months ago, message: Merge pull request #2884 from crynobone/feature/service-mailgun-domain
9df2e23 was Taylor Otwell, 2 years, 9 months ago, message: Merge pull request #2885 from GrahamCampbell/badges
57b53c2 was Graham Campbell, 2 years, 9 months ago, message: Improved badges
ffe21c5 was crynobone, 2 years, 9 months ago, message: Add missing mailgun.domain option.
6983f4d was Taylor Otwell, 2 years, 10 months ago, message: De-clutter default models.
3e29d06 was Colin Work, 2 years, 10 months ago, message: Added redis to list of available queue drivers
ad33b2f was anewmanjones, 2 years, 10 months ago, message: Fix grammar in config/mail.php
65db159 was Juukie14, 2 years, 10 months ago, message: Added remember_token to protected $hidden variable
443cad5 was Taylor Otwell, 2 years, 10 months ago, message: Merge branch 'master' into develop
13a34ff was Taylor Otwell, 2 years, 10 months ago, message: Update badges.
b8c5735 was Taylor Otwell, 2 years, 10 months ago, message: Merge branch 'master' into develop
f138f0f was Taylor Otwell, 2 years, 10 months ago, message: Add extra functions to User.
cfd7b58 was Taylor Otwell, 2 years, 10 months ago, message: Merge branch 'master' into develop
dff0120 was Taylor Otwell, 2 years, 10 months ago, message: Disable debugging by default. Must opt-in for local.
af70922 was Taylor Otwell, 2 years, 10 months ago, message: Merge pull request #2726 from lucasmichot/patch-1
211dfc2 was Taylor Otwell, 2 years, 10 months ago, message: Merge branch 'master' into develop
cb21cb8 was Taylor Otwell, 2 years, 10 months ago, message: Merge pull request #2754 from GrahamCampbell/fixes
7a7835f was Taylor Otwell, 2 years, 10 months ago, message: Merge pull request #2800 from barryvdh/patch-2
28a9562 was Taylor Otwell, 2 years, 10 months ago, message: Fix wording.
c7dff13 was Taylor Otwell, 2 years, 10 months ago, message: Merge pull request #2806 from GrahamCampbell/mail
b485fe7 was Graham Campbell, 2 years, 10 months ago, message: Added log to the mail config
4aa42ee was Taylor Otwell, 2 years, 10 months ago, message: Set default cipher.
b5d6026 was Barry vd. Heuvel, 2 years, 10 months ago, message: Add fallback_locale to config
7533706 was Graham Campbell, 2 years, 11 months ago, message: Minor cs fixes
83a8721 was Taylor Otwell, 2 years, 11 months ago, message: Add comment.
571b20c was Taylor Otwell, 2 years, 11 months ago, message: Fix formatting of file.
7d60aa4 was Taylor Otwell, 2 years, 11 months ago, message: Working on configuration files.
a2cb604 was Taylor Otwell, 2 years, 11 months ago, message: Cleaning up comments.
3c19e7a was Taylor Otwell, 2 years, 11 months ago, message: Merge pull request #2735 from boffey/fix-mail-config-comments
b191604 was Michael Boffey, 2 years, 11 months ago, message: Updated mail config comments from postmark to mailgun
3d99ff5 was Lucas, 2 years, 11 months ago, message: [PROPOSAL] Ignore all .env.*.php files
0b390e3 was Taylor Otwell, 2 years, 11 months ago, message: Merge branch 'master' into develop
9bf9c2e was Taylor Otwell, 2 years, 11 months ago, message: Add ttr option to beanstalk config.
0c9aded was Taylor Otwell, 3 years ago, message: Merge branch 'master' into develop
fafb983 was Taylor Otwell, 3 years ago, message: Merge pull request #2715 from EvgenyKovalev/patch-2
c457a93 was Taylor Otwell, 3 years ago, message: Work on 401 response from filter.
d286d94 was Taylor Otwell, 3 years ago, message: Merge pull request #2399 from JosephSilber/auth-ajax-401
2028ea7 was EvgenyKovalev, 3 years ago, message: Iron.io config less error prone.
5a172d9 was Taylor Otwell, 3 years ago, message: Merge pull request #2687 from EvgenyKovalev/patch-2
3626087 was Taylor Otwell, 3 years ago, message: Add sample custom error message.
a257420 was Taylor Otwell, 3 years ago, message: Tweak wording.
151fdab was Taylor Otwell, 3 years ago, message: Merge pull request #2706 from idhamperdameian/master
945a073 was Taylor Otwell, 3 years ago, message: Merge pull request #2710 from webdrop/master
b755783 was Taylor Otwell, 3 years ago, message: Adding soft deleting trait alias.
a5a8bcb was webdrop, 3 years ago, message: added alt to img tag in hello
5b28206 was Ivo Idham Perdameian, 3 years ago, message: Added required_with_all
13e3d45 was EvgenyKovalev, 3 years ago, message: Update queue.php
98d160d was Taylor Otwell, 3 years ago, message: Merge pull request #2655 from alexandre-butynski/patch-1
23cc411 was Joseph Silber, 3 years ago, message: Use App::abort instead of Response::make
5f917a6 was Alexandre Butynski, 3 years ago, message: Improvement of validation traduction for "email" rule
46c7f07 was Taylor Otwell, 3 years, 1 month ago, message: Merge pull request #2389 from anlutro-pull-requests/validator-require-without-all
d0c5007 was Taylor Otwell, 3 years, 1 month ago, message: Merge pull request #2508 from euantorano/patch-1
cc7196c was Taylor Otwell, 3 years, 1 month ago, message: Add encrypt option to iron queue config.
08afd1f was Taylor Otwell, 3 years, 1 month ago, message: Merge branch 'master' into develop
aeda6b1 was Taylor Otwell, 3 years, 1 month ago, message: Shorten path line.
ca744fc was Taylor Otwell, 3 years, 1 month ago, message: Merge pull request #2612 from liuggio/patch-1
b90f25e was Giulio De Donato, 3 years, 1 month ago, message: added license badge
437ea54 was Taylor Otwell, 3 years, 1 month ago, message: Merge branch 'master' into develop
73094f2 was Taylor Otwell, 3 years, 1 month ago, message: Ignore environment files.
7023884 was Taylor Otwell, 3 years, 1 month ago, message: Update composer.json
69bb623 was Taylor Otwell, 3 years, 1 month ago, message: Merge pull request #2534 from a25ce1/patch-1
c420a7b was Taylor Otwell, 3 years, 1 month ago, message: Merge branch 'master' into develop
b696287 was Taylor Otwell, 3 years, 1 month ago, message: Remove makeshift upgrade guide. Docs should be used.
adfa89b was Taylor Otwell, 3 years, 1 month ago, message: Merge pull request #2560 from crynobone/feature/post-install-cmd
b268cdc was crynobone, 3 years, 1 month ago, message: Add php artisan clear-compiled to post-install-cmd, as proposed in laravel/framework#3152
0f68f56 was Chen Hua, 3 years, 2 months ago, message: tabs to spaces
d5c1e8a was Euan T., 3 years, 2 months ago, message: Updating .htaccess for consistency
85f096b was Taylor Otwell, 3 years, 2 months ago, message: Minimum stability stable.
bc52ed5 was Taylor Otwell, 3 years, 2 months ago, message: Up dependency on dev branch.
3053d48 was Taylor Otwell, 3 years, 2 months ago, message: Fix conflict.
c1ab700 was Taylor Otwell, 3 years, 2 months ago, message: Merge pull request #2480 from samchivers/patch-1
84fe7f2 was samchivers, 3 years, 2 months ago, message: Corrected the spelling of 'maintenance' in comment block
0293eac was Taylor Otwell, 3 years, 2 months ago, message: Mention redis connection.
d763a8a was Taylor Otwell, 3 years, 2 months ago, message: Merge pull request #2471 from adamgoose/develop
4dc94d2 was Adam Engebretson, 3 years, 2 months ago, message: Enhancements to the 4.0>4.1 upgrade guide.
b2cad30 was Taylor Otwell, 3 years, 2 months ago, message: Merge pull request #2470 from adamgoose/develop
3f155a3 was Adam Engebretson, 3 years, 2 months ago, message: Re-order upgrade instructions
b83290e was Taylor Otwell, 3 years, 3 months ago, message: Merge pull request #2455 from irazasyed/patch-1
f2a56e7 was Syed I.R, 3 years, 3 months ago, message: Added step to turn off redis clustering by default in `database`
b0215e6 was Syed I.R, 3 years, 3 months ago, message: Step to update `view` config file to switch to bootstrap 3 pagination
426f6f0 was Syed I.R, 3 years, 3 months ago, message: Missing instruction for `secure` option to be added to session config file
6c8b424 was Syed I.R, 3 years, 3 months ago, message: Added step to add new failed queue job option to queue.php
074d0f0 was Taylor Otwell, 3 years, 3 months ago, message: Merge pull request #2453 from bretterer/patch-1
f7bc7e4 was bretterer, 3 years, 3 months ago, message: Added step to add remote.php
d4c5a0f was Taylor Otwell, 3 years, 3 months ago, message: Merge pull request #2440 from crynobone/patch/upgrade
a297fe8 was Taylor Otwell, 3 years, 3 months ago, message: Update upgrad guide.
0301a56 was Taylor Otwell, 3 years, 3 months ago, message: Tweak comment.
df6e4a9 was Taylor Otwell, 3 years, 3 months ago, message: Merge pull request #2446 from seengee/develop
9186d7a was Taylor Otwell, 3 years, 3 months ago, message: Adding failed queue job options.
26c281c was Rob Mills, 3 years, 3 months ago, message: Added instruction to update composer.json to 4.1
2079ec6 was crynobone, 3 years, 3 months ago, message: Group similar upgrade task.
1ac3820 was Taylor Otwell, 3 years, 3 months ago, message: Added stub keyphrase.
3cd00eb was Taylor Otwell, 3 years, 3 months ago, message: Merge pull request #2436 from bryannielsen/patch-1
f15e496 was Bryan Nielsen, 3 years, 3 months ago, message: Remove duplicate insert of SSH alias
d8270ae was Taylor Otwell, 3 years, 3 months ago, message: Merge pull request #2423 from mitchellvanw/develop
4e25666 was Taylor Otwell, 3 years, 3 months ago, message: Merge pull request #2426 from philsturgeon/patch-1
d3a25f6 was Phil Sturgeon, 3 years, 3 months ago, message: Missing reference to SSH in upgrade.md
69d0447 was Mitchell van Wijngaarden, 3 years, 3 months ago, message: Add Remote component to upgrade
1fb0a96 was Taylor Otwell, 3 years, 3 months ago, message: Add to upgrade guide.
55239c4 was Taylor Otwell, 3 years, 3 months ago, message: Tweak reminder language lines.
ed7be09 was Taylor Otwell, 3 years, 3 months ago, message: Remove unnecessary line from upgrade guide.
42780b4 was Taylor Otwell, 3 years, 3 months ago, message: add note to upgrade log.
7ddc587 was Taylor Otwell, 3 years, 3 months ago, message: Added code block.
d19a79b was Taylor Otwell, 3 years, 3 months ago, message: Merge pull request #2400 from jamesmills/patch-1
4cb7482 was James Mills, 3 years, 3 months ago, message: Update upgrade.md
cf36bb4 was Joseph Silber, 3 years, 3 months ago, message: Auth AJAX 401 response
509b43b was Taylor Otwell, 3 years, 3 months ago, message: Add note to upgrade guide.
